"Alexa","Consonant","Dataset","Dictionary","Digits","Entropy"
0.188924,0.714375,"acc055.75_1e555608b9805b41291877e960c1b21121b70190f54fdf2adf76015081788307.csv",0.447292,0.003333,2.382432
0.075521,0.686875,"acc073.38_132d74a914e6aab06056b922cc627b0d5671bfb846d5a7e6f3fab68e7c18e7d3.csv",0.166458,0.095833,2.435051
0.040729,0.665,"acc091.12_8099f21fe557f9439f23729b7dddffeba50a79903f2ba30d313439ed16e05e81.csv",0.092917,0.17,2.45406
0.091875,0.766875,"acc073.75_912f2a4d330c8cec83493facf10e355cd2eaaa08bcb2d87a5e9ad6e771063584.csv",0.193125,0.044375,2.405672
0.038368,0.719167,"acc095.88_f78e45d8aab9506010e15b9cb3465e3eb47ab9197c1181a05c3f9fa2f078bd3d.csv",0.086042,0.166666,2.464681
0.048681,0.702915,"acc087.38_035aabb2d15e4b13ee44a6ea17123d97dd4e1078aaef734ba7649bba0c467cf0.csv",0.125833,0.170834,2.416867
0.213333,0.682083,"acc061.12_eced8234b644838d74dea0192d1fe3a0af27f19fe6ea5487c5fa3db6345ab899.csv",0.477083,0.001875,2.417856
0.085556,0.772709,"acc071.25_52991b4e61cacde31f5348cf2043bef74c42a7a549a2a325a47f8823e45d1577.csv",0.200208,0.013333,2.408108
0.036146,0.628125,"acc089.38_10fa65a38e360860e650fdc7ea37afce77fbc81f85c4d8ec5caf109c83c7338d.csv",0.083542,0.191042,2.475097
0.190243,0.701042,"acc019.50_9b4aacd146fa4883b124efec5e198ae5c30f040c987712e159d8b61ce3ef8721.csv",0.40125,0.00125,2.388838
0.227153,0.660416,"acc045.00_6e3bc01a039b85e9452d34a4c077e6406e47b4cc8c1e9287a5334cac093c0810.csv",0.534166,0.00125,2.404774
0.212396,0.664166,"acc028.88_a1918b4c8c0b867b007b463731839befbccbec4ab62886f8c4a72c2ae6eb2c67.csv",0.4625,0.003333,2.394201
0.180451,0.710833,"acc038.75_05400fce6ed241b82d883390c6b9deca377e13a080308c845f757cae9fc84cf4.csv",0.362292,0.004167,2.411551
0.036528,0.717083,"acc089.75_69b22269d69f64c04715805c23790641222ddc776d484e94b25b4a0dda84e8d0.csv",0.066458,0.171249,2.435822
0.220451,0.664583,"acc047.75_8073e5d0ab77d48071ed275f5b63a18d1c0feeff4f64b85ff62cdd86c451e236.csv",0.516041,0.001042,2.410821
0.028681,0.713334,"acc091.25_411dbdd740a2882e48d96b50c0397c4953cc1227f4b2729763bc9c855bdf674b.csv",0.081042,0.167291,2.434209
0.034549,0.720625,"acc093.75_c590f6a38b9f7c0c52ab7dd2975aea5421180df1daeb932d90ca1cadf6533379.csv",0.08875,0.166666,2.441293
0.066007,0.801251,"acc086.12_a38f1a02e317a7bc078015b0f50e1f06daed2db8ce48616515eb2b0deaac9460.csv",0.112708,0.066458,2.419099
0.054861,0.748751,"acc077.62_35b2eea2ebdf0ff277dde394f202d6f4bfb73a746530e654289abe4c484b769d.csv",0.10625,0.118958,2.44531
